Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission
city,2015,7.5,10.0,27600,Petrol,Dealer,Manual
bolan,2012,1.25,2.69,50000,Petrol,Dealer,Manual
city,2015,7.5,10.0,27600,Petrol,Dealer,Manual
changan alsvin,2003,2.25,7.98,62000,Petrol,Dealer,Manual
santro,2017,3.5,4.43,38488,Petrol,Dealer,Manual
elantra,2017,5.75,7.13,12479,Petrol,Dealer,Manual
coure,2017,1.65,1.78,4000,Petrol,Individual,Manual
sonata,2013,6.15,9.4,45000,Diesel,Dealer,Manual
fx,2013,1.05,1.9,5400,Petrol,Individual,Manual
corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic
city,2016,10.9,13.6,30753,Petrol,Dealer,Automatic
hero xoom 119,2017,0.45,0.51,4000,Petrol,Individual,Automatic
city,2009,3.0,10.0,69562,Petrol,Dealer,Manual
sportage,2015,5.8,7.71,25870,Petrol,Dealer,Manual
Yamaha FZ  v 2.0,2015,0.6,0.84,29000,Petrol,Individual,Manual
hero xoom 119,2017,0.45,0.51,4000,Petrol,Individual,Automatic
Hero Honda CBZ extreme,2011,0.38,0.787,75000,Petrol,Individual,Manual
yamaha ybr 125g 220 dtsi,2015,0.6,0.95,16600,Petrol,Individual,Manual
Hero Splender Plus,2016,0.3,0.48,50000,Petrol,Individual,Manual
santro,2015,2.75,4.43,28282,Petrol,Dealer,Manual
fx,2015,1.11,1.47,17500,Petrol,Individual,Manual
fx,2017,1.35,1.47,4100,Petrol,Individual,Manual
Honda CBR 150,2013,0.6,1.2,32000,Petrol,Individual,Manual
amaze,2014,4.5,6.4,19000,Petrol,Dealer,Manual
zxmco kpr 220,2010,0.52,0.94,45000,Petrol,Individual,Manual
potohar,2017,7.9,8.1,3435,Petrol,Dealer,Manual
faw v2,2015,4.5,7.7,40588,Petrol,Dealer,Manual
sonata,2012,4.95,9.4,60000,Diesel,Dealer,Manual
corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual
passo,2017,4.9,5.71,2400,Petrol,Dealer,Manual
faw v2 g,2015,3.95,6.8,36000,Petrol,Dealer,Manual
sonata,2017,9.25,9.4,15001,Petrol,Dealer,Manual
Suzuki Access 125,2008,0.25,0.58,1900,Petrol,Individual,Automatic
jazz,2017,6.5,8.7,21200,Petrol,Dealer,Manual
corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic
bolan,2012,1.25,2.69,50000,Petrol,Dealer,Manual
picanto,2015,4.0,5.9,60000,Petrol,Dealer,Manual
city,2015,6.7,10.0,18828,Petrol,Dealer,Manual
picanto,2015,5.4,6.82,31427,Petrol,Dealer,Automatic
faw v2 gd,2015,4.75,7.85,40000,Diesel,Dealer,Manual
fx,2015,1.1,1.9,14000,Petrol,Individual,Manual
amaze,2014,4.5,6.4,19000,Petrol,Dealer,Manual
